2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:107:__init__ > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:179:start > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.566' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.482' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.352' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:21 focus_guard_skip_suspended remaining='2.238' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='2.201' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='2.102' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='2.008' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.885' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.814' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.720' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.636' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.508' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.452' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.358' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:22 focus_guard_skip_suspended remaining='1.250' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='1.122' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='1.063' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.968' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.889' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.768' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.701' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.607' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 show_near_cursor window_handle=67422 collapsed=False state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.498' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.403' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.272' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:23 focus_guard_skip_suspended remaining='0.216' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:24 focus_guard_skip_suspended remaining='0.123' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
